iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
53;22:49:28;22:49:28;22:49:28;22:49:28;22:49:28;22:49:28;;;22:49:28;22:49:28;22:49:28;22:49:28;22:49:28;22:49:28;22:49:28;22:49:28;22:49:28;22:49:28;;;22:49:29;22:49:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
54;22:49:29;22:49:29;22:49:29;22:49:29;22:49:29;22:49:29;;;22:49:29;22:49:29;22:49:29;22:49:29;22:49:29;22:49:29;22:49:29;22:49:29;22:49:29;22:49:29;;;22:49:30;22:49:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
55;22:49:30;22:49:30;22:49:30;22:49:30;22:49:30;22:49:30;;;22:49:30;22:49:30;22:49:30;22:49:30;22:49:30;22:49:30;22:49:30;22:49:30;22:49:30;22:49:30;;;22:49:31;22:49:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
56;22:49:31;22:49:31;22:49:31;22:49:31;22:49:31;22:49:31;;;22:49:31;22:49:31;22:49:31;22:49:31;22:49:31;22:49:31;22:49:31;22:49:31;22:49:31;22:49:31;;;22:49:32;22:49:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
57;22:49:32;22:49:32;22:49:32;22:49:32;22:49:32;22:49:32;;;22:49:32;22:49:32;22:49:32;22:49:32;22:49:32;22:49:32;22:49:32;22:49:32;22:49:32;22:49:32;;;22:49:33;22:49:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
58;22:49:33;22:49:33;22:49:33;22:49:33;22:49:33;22:49:33;;;22:49:33;22:49:33;22:49:33;22:49:33;22:49:33;22:49:33;22:49:33;22:49:33;22:49:33;22:49:33;;;22:49:34;22:49:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
59;22:49:34;22:49:34;22:49:34;22:49:34;22:49:34;22:49:34;;;22:49:34;22:49:34;22:49:34;22:49:34;22:49:34;22:49:34;22:49:34;22:49:34;22:49:34;22:49:34;;;22:49:35;22:49:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
60;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;;;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;22:49:35;22:49:36;22:49:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
61;22:49:36;22:49:36;22:49:36;22:49:36;22:49:36;22:49:36;;;22:49:36;22:49:36;22:49:36;22:49:36;22:49:36;22:49:36;22:49:36;22:49:36;22:49:36;22:49:36;;;22:49:37;22:49:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
62;22:49:37;22:49:37;22:49:37;22:49:37;22:49:37;22:49:37;;;22:49:37;22:49:37;22:49:37;22:49:37;22:49:37;22:49:37;22:49:37;22:49:37;22:49:37;22:49:37;;;22:49:38;22:49:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
63;22:49:38;22:49:38;22:49:38;22:49:38;22:49:38;22:49:38;;;22:49:38;22:49:38;22:49:38;22:49:38;22:49:38;22:49:38;22:49:38;22:49:38;22:49:38;22:49:38;;;22:49:39;22:49:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
64;22:49:39;22:49:39;22:49:39;22:49:39;22:49:39;22:49:39;;;22:49:39;22:49:39;22:49:39;22:49:39;22:49:39;22:49:39;22:49:39;22:49:39;22:49:39;22:49:39;;;22:49:40;22:49:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
65;22:49:40;22:49:40;22:49:40;22:49:40;22:49:40;22:49:40;;;22:49:40;22:49:40;22:49:40;22:49:40;22:49:40;22:49:40;22:49:40;22:49:40;22:49:40;22:49:40;;;22:49:41;22:49:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
66;22:49:41;22:49:41;22:49:41;22:49:41;22:49:41;22:49:41;;;22:49:41;22:49:41;22:49:41;22:49:41;22:49:41;22:49:41;22:49:41;22:49:41;22:49:41;22:49:41;;;22:49:41;22:49:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
